round	shape	depth	words	reps	impl	threads	seconds	exit	output
1	bal	8	16	100000	wf_seq	0	0.597812	0	418978c4dfc3adcb
1	bal	8	16	100000	wf_par	1	0.553332	0	418978c4dfc3adcb
1	bal	8	16	100000	wf_par	2	1.176110	0	418978c4dfc3adcb
1	bal	8	16	100000	wf_par	4	2.445472	0	418978c4dfc3adcb
1	bal	8	16	100000	wf_par	8	4.696726	0	418978c4dfc3adcb
1	bal	8	16	100000	rs_seq	0	0.578414	0	418978c4dfc3adcb
1	bal	8	16	100000	rs_rayon	2	0.409718	0	418978c4dfc3adcb
1	bal	8	16	100000	rs_rayon	4	0.379284	0	418978c4dfc3adcb
1	bal	8	16	100000	rs_rayon	8	1.025540	0	418978c4dfc3adcb
1	bal	8	16	100000	rs_cut	2	0.330756	0	418978c4dfc3adcb
1	bal	8	16	100000	rs_cut	4	0.271113	0	418978c4dfc3adcb
1	bal	8	16	100000	rs_cut	8	0.629328	0	418978c4dfc3adcb
1	bal	8	64	32000	wf_seq	0	0.488368	0	41b7bde1c5b8515c
1	bal	8	64	32000	wf_par	1	0.505366	0	41b7bde1c5b8515c
1	bal	8	64	32000	wf_par	2	0.502566	0	41b7bde1c5b8515c
1	bal	8	64	32000	wf_par	4	0.867114	0	41b7bde1c5b8515c
1	bal	8	64	32000	wf_par	8	1.586348	0	41b7bde1c5b8515c
1	bal	8	64	32000	rs_seq	0	0.507468	0	41b7bde1c5b8515c
1	bal	8	64	32000	rs_rayon	2	0.306815	0	41b7bde1c5b8515c
1	bal	8	64	32000	rs_rayon	4	0.342518	0	41b7bde1c5b8515c
1	bal	8	64	32000	rs_rayon	8	0.556110	0	41b7bde1c5b8515c
1	bal	8	64	32000	rs_cut	2	0.349395	0	41b7bde1c5b8515c
1	bal	8	64	32000	rs_cut	4	0.321478	0	41b7bde1c5b8515c
1	bal	8	64	32000	rs_cut	8	0.312944	0	41b7bde1c5b8515c
1	bal	8	192	11500	wf_seq	0	0.617005	0	41d434bad9dda9b2
1	bal	8	192	11500	wf_par	1	0.613299	0	41d434bad9dda9b2
1	bal	8	192	11500	wf_par	2	0.419914	0	41d434bad9dda9b2
1	bal	8	192	11500	wf_par	4	0.577846	0	41d434bad9dda9b2
1	bal	8	192	11500	wf_par	8	0.784145	0	41d434bad9dda9b2
1	bal	8	192	11500	rs_seq	0	0.603412	0	41d434bad9dda9b2
1	bal	8	192	11500	rs_rayon	2	0.326348	0	41d434bad9dda9b2
1	bal	8	192	11500	rs_rayon	4	0.229788	0	41d434bad9dda9b2
1	bal	8	192	11500	rs_rayon	8	0.269697	0	41d434bad9dda9b2
1	bal	8	192	11500	rs_cut	2	0.314687	0	41d434bad9dda9b2
1	bal	8	192	11500	rs_cut	4	0.246055	0	41d434bad9dda9b2
1	bal	8	192	11500	rs_cut	8	0.210354	0	41d434bad9dda9b2
1	bal	10	16	25000	wf_seq	0	0.568611	0	41a97eb56fcb8a7e
1	bal	10	16	25000	wf_par	1	0.554028	0	41a97eb56fcb8a7e
1	bal	10	16	25000	wf_par	2	0.681050	0	41a97eb56fcb8a7e
1	bal	10	16	25000	wf_par	4	1.455382	0	41a97eb56fcb8a7e
1	bal	10	16	25000	wf_par	8	2.375343	0	41a97eb56fcb8a7e
1	bal	10	16	25000	rs_seq	0	0.569390	0	41a97eb56fcb8a7e
1	bal	10	16	25000	rs_rayon	2	0.376115	0	41a97eb56fcb8a7e
1	bal	10	16	25000	rs_rayon	4	0.273879	0	41a97eb56fcb8a7e
1	bal	10	16	25000	rs_rayon	8	0.503453	0	41a97eb56fcb8a7e
1	bal	10	16	25000	rs_cut	2	0.308176	0	41a97eb56fcb8a7e
1	bal	10	16	25000	rs_cut	4	0.190465	0	41a97eb56fcb8a7e
1	bal	10	16	25000	rs_cut	8	0.264650	0	41a97eb56fcb8a7e
